date,Unnamed: 0,Date,Region,Place,Trigger,Number Killed,Unnamed: 5,Coordinates,date,year,month,latitude,longitude
1996-12-07,60,12/7/1996,Ogden,Bountiful Peak,Snowmobiler,1,Details,,1996-12-07,1996,12,nan,nan
1996-03-27,61,03/27/1996,Salt Lake,Maybird Gulch,Skier,1,Details,,1996-03-27,1996,3,nan,nan
1996-02-02,62,02/2/1996,Salt Lake,Solitude,,1,Details,"40.606126845988, -111.614786611780",1996-02-02,1996,2,40.606126845988, -111.614786611780
1995-02-12,63,02/12/1995,Salt Lake,Gobblers Knob,Skier,1,Details,,1995-02-12,1995,2,nan,nan
1995-01-23,64,01/23/1995,None,Midway,Unknown,1,Details,,1995-01-23,1995,1,nan,nan
1995-01-14,65,01/14/1995,Ogden,Ben Lomond,Snowmobiler,2,Details,"41.364733019853, -111.951005446050",1995-01-14,1995,1,41.364733019853, -111.951005446050
1994-11-07,66,11/7/1994,Salt Lake,Snowbird Ski Resort,Skier,1,Details,"40.564454000000, -111.646497000000",1994-11-07,1994,11,40.564454000000, -111.646497000000
1994-02-18,67,02/18/1994,Salt Lake,10420,Skier,1,Details,,1994-02-18,1994,2,nan,nan
1993-04-03,68,04/3/1993,Salt Lake,Wolverine Cirque,Skier,1,Details,"40.585286000000, -111.605041000000",1993-04-03,1993,4,40.585286000000, -111.605041000000
1993-02-25,69,02/25/1993,Salt Lake,Pinecrest,Skier,1,Details,,1993-02-25,1993,2,nan,nan
1993-01-16,70,01/16/1993,Provo,Sundance,Skier,1,Details,"40.372185694061, -111.585446285570",1993-01-16,1993,1,40.372185694061, -111.585446285570
1992-04-01,71,04/1/1992,Salt Lake,Snowbird periphery,Skier,1,Details,"40.551518000000, -111.649544000000",1992-04-01,1992,4,40.551518000000, -111.649544000000
1992-02-12,72,02/12/1992,Moab,Gold Basin,Skier,4,Details,,1992-02-12,1992,2,nan,nan
1989-11-25,73,11/25/1989,Logan,Tony Grove Lake,Skier,1,Details,,1989-11-25,1989,11,nan,nan
1987-02-15,74,02/15/1987,Salt Lake,Figure 8 Hill,Skier,1,Details,"40.591841000000, -111.604827000000",1987-02-15,1987,2,40.591841000000, -111.604827000000
1986-11-20,75,11/20/1986,Salt Lake,Alta Ski Area,Hiker,1,Details,,1986-11-20,1986,11,nan,nan
1986-02-19,76,02/19/1986,Salt Lake,Alta Ski Area,Natural,1,Details,"40.566950000000, -111.624353000000",1986-02-19,1986,2,40.566950000000, -111.624353000000
1986-02-17,77,02/17/1986,Salt Lake,Brighton Hill,Snowboarder,1,Details,"40.606262000000, -111.576839000000",1986-02-17,1986,2,40.606262000000, -111.576839000000
1986-01-06,78,01/6/1986,Provo,Water Hollow,Skier,1,Details,"40.285983000000, -111.506379000000",1986-01-06,1986,1,40.285983000000, -111.506379000000
1985-11-13,79,11/13/1985,Salt Lake,Sunset Peak,Skier,2,Details,"40.577629000000, -111.594312000000",1985-11-13,1985,11,40.577629000000, -111.594312000000
1985-03-19,80,03/19/1985,Salt Lake,Park City Ski Resort,Skier,1,Details,"40.641857000000, -111.520412000000",1985-03-19,1985,3,40.641857000000, -111.520412000000
1985-02-22,81,02/22/1985,Ogden,Powder Mountain,Skier,1,Details,"41.362519000000, -111.782882000000",1985-02-22,1985,2,41.362519000000, -111.782882000000
1984-01-02,82,01/2/1984,Salt Lake,Little Superior,Skier,1,Details,"40.593007000000, -111.659243000000",1984-01-02,1984,1,40.593007000000, -111.659243000000
1982-03-22,83,03/22/1982,Salt Lake,Murdock Peak,Skier,1,Details,"40.694668000000, -111.604312000000",1982-03-22,1982,3,40.694668000000, -111.604312000000
1981-03-01,84,03/1/1981,Salt Lake,Porter Fork,Skier,1,Details,"40.664995000000, -111.693146000000",1981-03-01,1981,3,40.664995000000, -111.693146000000
1981-02-01,85,02/1/1981,Salt Lake,Doughnut Falls,Skier,1,Details,"40.631609000000, -111.654308000000",1981-02-01,1981,2,40.631609000000, -111.654308000000
1980-01-11,86,01/11/1980,Salt Lake,Evergreen Ridge,Skier,1,Details,"40.606529000000, -111.594484000000",1980-01-11,1980,1,40.606529000000, -111.594484000000
1979-04-02,87,04/2/1979,Salt Lake,Lake Desolation,Skier,1,Details,"40.656105000000, -111.602252000000",1979-04-02,1979,4,40.656105000000, -111.602252000000
1979-01-19,88,01/19/1979,None,Helper,Natural,1,Details,"39.702192039624, -110.949728952290",1979-01-19,1979,1,39.702192039624, -110.949728952290
1977-03-03,89,03/3/1977,Salt Lake,Snowbird Ski Resort,Skier,1,Details,"40.564342704045, -111.652085678840",1977-03-03,1977,3,40.564342704045, -111.652085678840
1976-01-06,90,01/6/1976,Salt Lake,Alta Ski Area,Skier,1,Details,"40.586506674316, -111.626428069460",1976-01-06,1976,1,40.586506674316, -111.626428069460
1973-12-29,91,12/29/1973,Salt Lake,Canyons Ski Resort,Skier,1,Details,,1973-12-29,1973,12,nan,nan
1970-01-20,92,01/20/1970,Salt Lake,Peruvian Ridge,Skier,1,Details,"40.572657369383, -111.651414858090",1970-01-20,1970,1,40.572657369383, -111.651414858090
1968-02-19,93,02/19/1968,Provo,Rock Canyon,Natural,1,Details,"40.226133346151, -111.614400373680",1968-02-19,1968,2,40.226133346151, -111.614400373680
1967-02-12,94,02/12/1967,Salt Lake,Pharoahs Glen,Hiker,2,Details,"40.708361000000, -111.759796000000",1967-02-12,1967,2,40.708361000000, -111.759796000000
1965-12-31,95,12/31/1965,Salt Lake,Park City Ski Resort,Skier,1,Details,"40.631302096436, -111.516682134840",1965-12-31,1965,12,40.631302096436, -111.516682134840
1964-03-29,96,03/29/1964,Ogden,Taylor Canyon,Skier,1,Details,"41.204951129311, -111.900259481650",1964-03-29,1964,3,41.204951129311, -111.900259481650
1958-03-09,97,03/9/1958,Ogden,Snowbasin,Skier,1,Details,"41.205508551921, -111.875901000480",1958-03-09,1958,3,41.205508551921, -111.875901000480
