,Date,Region,Place,Trigger,Number Killed,Unnamed: 5,Coordinates
88,01/19/1979,None,Helper,Natural,1,Details,"39.702192039624, -110.949728952290"
89,03/3/1977,Salt Lake,Snowbird Ski Resort,Skier,1,Details,"40.564342704045, -111.652085678840"
90,01/6/1976,Salt Lake,Alta Ski Area,Skier,1,Details,"40.586506674316, -111.626428069460"
91,12/29/1973,Salt Lake,Canyons Ski Resort,Skier,1,Details,
92,01/20/1970,Salt Lake,Peruvian Ridge,Skier,1,Details,"40.572657369383, -111.651414858090"
93,02/19/1968,Provo,Rock Canyon,Natural,1,Details,"40.226133346151, -111.614400373680"
94,02/12/1967,Salt Lake,Pharoahs Glen,Hiker,2,Details,"40.708361000000, -111.759796000000"
95,12/31/1965,Salt Lake,Park City Ski Resort,Skier,1,Details,"40.631302096436, -111.516682134840"
96,03/29/1964,Ogden,Taylor Canyon,Skier,1,Details,"41.204951129311, -111.900259481650"
97,03/9/1958,Ogden,Snowbasin,Skier,1,Details,"41.205508551921, -111.875901000480"
